SalesDate,Category,SoldQty,SpecialEventName,TempLag1,HDD,DaylightHours,TempDeviation,TempRange,TemperatureMeanC,WindSpeedMaxKmh,IsSnowDay,FeelsLikeDiffC,SunshineHours,CloudCoverMeanPct,CDD,WeekendXBadWeather,PrecipitationMm,DaylightHours_x_TempLag1,day_of_week,day_of_month,day_of_year,is_month_start,is_month_end,week_of_year,month_of_year,year,is_weekend,week_of_month,day_of_week_sin,day_of_week_cos,week_of_month_sin,week_of_month_cos,lag_7,lag_14,lag_21,lag_28,lag_90,rolling_mean_7,rolling_mean_14,rolling_mean_21,rolling_std_7,rolling_min_7,rolling_max_7,ewm_mean_7,same_dow_mean_4w,same_dow_std_4w,dow_momentum,is_special_event,lag90_vs_lag7,lag7_deviation,demand_shock
2023-07-24,Donuts,251.0,Regular Day,24.4,0.0,14.466666666666667,-3.552713678800501e-15,9.100000000000001,24.6,15.1,0.0,1.3999999999999986,7.710555555555556,68.0,6.600000000000001,0.0,0.0,352.9866666666666,2,24,205,0,0,30,7,2023,0,4,0.9749279121818236,-0.22252093395631434,-0.9510565162951536,0.30901699437494723,253.0,226.0,295.0,298.0,267.0,312.86,321.71,333.0,69.16,252.0,410.0,298.37,268.0,34.72751070837067,0.8077571669341019,0,0.9475655430356716,-1.156737998676007,0
2023-07-24,Munchkins,310.0,Regular Day,24.4,0.0,14.466666666666667,-3.552713678800501e-15,9.100000000000001,24.6,15.1,0.0,1.3999999999999986,7.710555555555556,68.0,6.600000000000001,0.0,0.0,352.9866666666666,2,24,205,0,0,30,7,2023,0,4,0.9749279121818236,-0.22252093395631434,-0.9510565162951536,0.30901699437494723,298.0,363.0,223.0,284.0,413.0,376.71,361.43,363.71,88.11,255.0,524.0,353.91,292.0,57.45142876088171,1.3037475344910503,0,0.7215496367864032,-0.7457723299573518,0
2023-07-25,Donuts,299.0,Regular Day,24.6,0.0,14.45,-0.5000000000000036,9.799999999999997,24.9,14.0,0.0,4.200000000000003,14.0,29.0,6.899999999999999,0.0,3.6,355.47,3,25,206,0,0,30,7,2023,0,4,0.43388373911755823,-0.900968867902419,-0.9510565162951536,0.30901699437494723,277.0,268.0,400.0,269.0,258.0,325.71,323.93,334.57,65.54,252.0,410.0,310.78,303.5,64.45928947793328,0.8146487294347586,0,1.073643410811099,-0.8783948732257559,0
2023-07-25,Munchkins,301.0,Regular Day,24.6,0.0,14.45,-0.5000000000000036,9.799999999999997,24.9,14.0,0.0,4.200000000000003,14.0,29.0,6.899999999999999,0.0,3.6,355.47,3,25,206,0,0,30,7,2023,0,4,0.43388373911755823,-0.900968867902419,-0.9510565162951536,0.30901699437494723,255.0,308.0,291.0,352.0,315.0,390.57,372.29,371.95,92.21,255.0,524.0,379.18,301.5,40.26992260567019,0.8755832037188868,0,0.8095238094981103,-1.2683006180166685,0
2023-07-26,Donuts,308.0,Regular Day,24.9,0.0,14.416666666666666,-0.36666666666666714,13.0,24.7,16.6,0.0,2.9999999999999964,12.712777777777777,31.0,6.699999999999999,0.0,0.0,358.97499999999997,4,26,207,0,0,30,7,2023,0,4,-0.433883739117558,-0.9009688679024191,-0.9510565162951536,0.30901699437494723,252.0,317.0,231.0,361.0,374.0,317.14,323.86,330.1,58.68,252.0,410.0,316.58,290.25,59.706923105002375,0.961148648632413,0,0.6737967914258343,-1.3309475117022929,0
2023-07-26,Munchkins,328.0,Regular Day,24.9,0.0,14.416666666666666,-0.36666666666666714,13.0,24.7,16.6,0.0,2.9999999999999964,12.712777777777777,31.0,6.699999999999999,0.0,0.0,358.97499999999997,4,26,207,0,0,30,7,2023,0,4,-0.433883739117558,-0.9009688679024191,-0.9510565162951536,0.30901699437494723,366.0,261.0,285.0,346.0,396.0,382.86,364.0,364.1,91.79,255.0,524.0,375.38,314.5,49.58830507286975,0.9936608557687217,0,0.9242424242190848,0.020699422592798594,0
2023-07-27,Donuts,333.0,Regular Day,24.7,0.0,14.383333333333333,3.166666666666668,13.199999999999996,28.5,25.5,0.0,0.6000000000000014,14.0,72.0,10.5,0.0,0.2,355.2683333333333,5,27,208,0,0,30,7,2023,0,4,-0.9749279121818236,-0.2225209339563146,-0.9510565162951536,0.30901699437494723,348.0,258.0,317.0,315.0,477.0,319.43,316.5,325.76,60.28,252.0,410.0,327.94,309.5,37.5099986670221,0.958860759478499,0,0.7295597484123781,0.36894492362824416,0
2023-07-27,Munchkins,352.0,Regular Day,24.7,0.0,14.383333333333333,3.166666666666668,13.199999999999996,28.5,25.5,0.0,0.6000000000000014,14.0,72.0,10.5,0.0,0.2,355.2683333333333,5,27,208,0,0,30,7,2023,0,4,-0.9749279121818236,-0.2225209339563146,-0.9510565162951536,0.30901699437494723,455.0,358.0,303.0,282.0,368.0,402.57,379.5,367.95,112.97,255.0,556.0,420.54,349.5,77.289499071133,1.3897435897198334,0,1.2364130434446627,0.770558555300473,0
2023-07-28,Donuts,421.0,Regular Day,28.5,0.0,14.35,2.833333333333332,10.600000000000001,29.6,15.9,0.0,4.399999999999999,14.0,37.0,11.600000000000001,0.0,0.3,408.97499999999997,6,28,209,0,0,30,7,2023,0,4,-0.7818314824680299,0.6234898018587334,-0.9510565162951536,0.30901699437494723,334.0,394.0,335.0,428.0,341.0,294.0,305.5,319.33,52.79,232.0,362.0,303.95,372.75,46.29884807782299,0.9541284403544675,0,0.9794721407337398,0.27789354039062475,0
2023-07-28,Munchkins,386.0,Regular Day,28.5,0.0,14.35,2.833333333333332,10.600000000000001,29.6,15.9,0.0,4.399999999999999,14.0,37.0,11.600000000000001,0.0,0.3,408.97499999999997,6,28,209,0,0,30,7,2023,0,4,-0.7818314824680299,0.6234898018587334,-0.9510565162951536,0.30901699437494723,364.0,418.0,480.0,529.0,473.0,358.43,368.5,354.71,117.88,215.0,556.0,369.15,447.75,71.97395362212639,0.7750247769992564,0,0.7695560253537091,0.07880895825595463,0
